user,project,value,timestamp,type,outliertype,q1,median,q3,max,url
HaaseIT,HCSF,423,1/15/2016 11:22,commits, number of LOC modified for commit parent count \'1\',3,17,62,2665,https://github.com/HaaseIT/HCSF/commit/01f2c4389348cd6ff5bbf866269f0f16172fb947
mulesoft,mulesoft-docs,5,1/15/2016 17:50,commits, number of files modified for commit parent count \'1\',1,1,1,300,https://github.com/mulesoft/mulesoft-docs/commit/e5523cc29ecfea706f227b5623629ea08326011c
reportbase,j15a,70939,1/17/2016 19:35,commits, time between commits for committer \'reportbase@gmail.com\',39.5,155,1115,1381870,https://github.com/reportbase/j15a/commit/03048e0b68d5fc8175c3e88a8c5eccddd1bb37fe
keybase,kbfs,71,1/18/2016 9:02,commits, number of LOC deleted for file / commit parent count \'libkbfs/folder_branch_ops.go\' / \'2\',1,3,9.25,71,https://github.com/keybase/kbfs/commit/6e22d501bba36d078d7c0a35672e1c9d626a7e26
steptools,NC.js,2214,1/19/2016 20:02,commits, number of LOC modified for filetype \'.js\',6,20,65.5,127113,https://github.com/steptools/NC.js/commit/fd407e8187e14f6a7abd4f60f1073837ef9842e6
Return-To-The-Roots,s25client,8649210,1/19/2016 21:33,commits, time between commits for file \'src/controls/ctrlTable.cpp\',7167,187664,485121,8649210,https://github.com/Return-To-The-Roots/s25client/commit/44e35274e2c6560ad3c655f45cfe0778ade6ca67
formio,formio,67,1/19/2016 21:52,commits, number of LOC deleted for committer \'zackurben@gmail.com\',1,4,16.5,4022,https://github.com/formio/formio/commit/57cdcdecc668000d65b634a297fab4231f3b31f4
broadinstitute,picard,338,1/20/2016 14:04,commits, number of LOC modified,4,16,75,41920,https://github.com/broadinstitute/picard/commit/7b8c64960e9ffe87f8b4d358cff09ad436bf42bb
SUNET,eduid-dashboard,25,1/21/2016 12:18,commits, number of LOC deleted for file / committer \'eduiddashboard/__init__.py\' / \'enrique@cazalla.net\',0,2,5,25,https://github.com/SUNET/eduid-dashboard/commit/c0c8b0b4a9520732ed477ffbd06edbbc42866c6c
Return-To-The-Roots,s25client,265,1/21/2016 23:56,commits, number of LOC added for file / commit parent count \'src/buildings/nobHQ.cpp\' / \'1\',1,2,5.5,402,https://github.com/Return-To-The-Roots/s25client/commit/693f200d4759a4d7f873794cdf156ff7fe41f68c
Return-To-The-Roots,s25client,4509970,1/22/2016 0:22,commits, time between commits for file / label \'src/ingameWindows/iwMilitaryBuilding.cpp\' / \'enhancement\',76530.8,225690,617380,10033400,https://github.com/Return-To-The-Roots/s25client/commit/3e40c5d08eef042f01556a395f6bb31bf8f057ce
